longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,predicted_house_value
-118.39,34.12,29.0,6447.0,1012.0,2184.0,960.0,8.2816,<1H OCEAN,502289.12
-120.42,34.89,24.0,2020.0,307.0,855.0,283.0,5.0099,<1H OCEAN,218879.47
-118.45,34.25,36.0,1453.0,270.0,808.0,275.0,4.3839,<1H OCEAN,212362.53
-118.1,33.91,35.0,1653.0,325.0,1072.0,301.0,3.2708,<1H OCEAN,159083.27
-117.07,32.77,38.0,3779.0,614.0,1495.0,614.0,4.3529,NEAR OCEAN,224419.28
-118.04,33.93,35.0,1805.0,387.0,1505.0,366.0,4.1667,<1H OCEAN,168272.22
-122.27,37.83,49.0,1655.0,366.0,754.0,329.0,1.375,NEAR BAY,134684.02
-122.26,37.46,26.0,5067.0,750.0,1996.0,728.0,7.0001,NEAR OCEAN,452358.1
-122.03,37.36,16.0,2697.0,803.0,1369.0,723.0,4.4699,<1H OCEAN,248977.38
-117.61,33.43,24.0,2303.0,399.0,851.0,379.0,3.9875,NEAR OCEAN,275886.88
-118.32,34.06,36.0,3239.0,722.0,1383.0,612.0,4.5918,<1H OCEAN,319145.1
-121.23,37.96,44.0,2204.0,473.0,1277.0,435.0,1.5539,INLAND,67642.51
-121.2,37.81,26.0,395.0,74.0,193.0,72.0,7.3718,INLAND,262851.25
-121.91,37.24,24.0,5046.0,1001.0,2449.0,968.0,4.7118,<1H OCEAN,276106.6
-118.48,34.28,35.0,2132.0,368.0,1128.0,341.0,5.3107,<1H OCEAN,249070.88
-117.65,34.1,44.0,1526.0,337.0,831.0,326.0,3.0284,INLAND,130272.81
-121.59,39.82,12.0,1958.0,369.0,875.0,354.0,2.3507,INLAND,95588.09
-118.97,35.41,36.0,1896.0,315.0,937.0,303.0,3.996,INLAND,96272.46
-118.06,33.88,17.0,7187.0,1073.0,3844.0,1068.0,6.5901,<1H OCEAN,331585.25
-118.39,33.85,24.0,4373.0,871.0,1830.0,824.0,5.7128,<1H OCEAN,403848.75
-117.98,33.73,18.0,3833.0,,2192.0,996.0,3.4679,<1H OCEAN,179430.78
-118.32,33.79,35.0,2924.0,658.0,1675.0,602.0,3.8287,<1H OCEAN,264596.62
-120.27,34.72,14.0,1289.0,277.0,693.0,237.0,3.2569,<1H OCEAN,197536.45
-119.65,36.33,52.0,1257.0,257.0,624.0,243.0,2.3523,INLAND,74977.695
-119.86,36.82,12.0,1488.0,253.0,675.0,223.0,4.7622,INLAND,133084.77
-119.23,35.78,8.0,1612.0,343.0,1230.0,330.0,2.1806,INLAND,63262.445
